arena_name;address;capacity
Ingelstads Sporthall;Gamla Växjövägen 1, 36044 Ingelstad;150
Fortnox Arena;Hejaregatan 5, 35246 VÄXJÖ;1700
Hovshaga Sporthall;Paradvägen 6, 35262 VÄXJÖ;200
Gemla Sporthall;Harekullevägen, 36032 Gemla;120
Alvesta Sporthall;Grönkullavägen 10, 342 31 Alvesta;250
Araby Park Arena;Höstvägen 5 A, 352 37 Växjö;190
Rottne Sporthall;Bengtsgårdsvägen 9, 363 34 Rottne;120
ATA-hallen, Moheda;Banérsgatan 15, 342 61 Moheda;230
Allhallen, Hovmantorp;Parkgatan 1, 360 51 Hovmantorp;210
